1, 64, 256, 56, 56, 1, 1, 1, 1, 1, 0, 0,       UniConv,   3136,    256,     64, 86.90
1, 128, 512, 28, 28, 1, 1, 1, 1, 1, 0, 0,       UniConv,    784,    512,    128, 111.90
1, 256, 512, 56, 56, 1, 1, 1, 2, 2, 0, 0,       UniConv,    784,    512,    256, 126.51
1, 256, 1024, 14, 14, 1, 1, 1, 1, 1, 0, 0,       UniConv,    196,   1024,    256, 126.15
1, 512, 1024, 28, 28, 1, 1, 1, 2, 2, 0, 0,       UniConv,    196,   1024,    512, 136.04
1, 512, 2048, 7, 7, 1, 1, 1, 1, 1, 0, 0,       UniConv,     49,   2048,    512, 128.81
1, 1024, 2048, 14, 14, 1, 1, 1, 2, 2, 0, 0,       UniConv,     49,   2048,   1024, 139.47
1, 3, 64, 224, 224, 1, 7, 7, 2, 2, 3, 3,       UniConv,  12544,     64,    147, 75.04
1, 64, 64, 56, 56, 1, 1, 1, 1, 1, 0, 0,       UniConv,   3136,     64,     64, 63.88
1, 64, 64, 56, 56, 1, 3, 3, 1, 1, 1, 1,       UniConv,   3136,     64,    576, 82.73
1, 256, 64, 56, 56, 1, 1, 1, 1, 1, 0, 0,       UniConv,   3136,     64,    256, 109.77
1, 256, 128, 56, 56, 1, 1, 1, 1, 1, 0, 0,       UniConv,   3136,    128,    256, 123.81
1, 128, 128, 56, 56, 1, 3, 3, 2, 2, 1, 1,       UniConv,    784,    128,   1152, 119.38
1, 512, 128, 28, 28, 1, 1, 1, 1, 1, 0, 0,       UniConv,    784,    128,    512, 123.78
1, 128, 128, 28, 28, 1, 3, 3, 1, 1, 1, 1,       UniConv,    784,    128,   1152, 119.81
1, 512, 256, 28, 28, 1, 1, 1, 1, 1, 0, 0,       UniConv,    784,    256,    512, 133.70
1, 256, 256, 28, 28, 1, 3, 3, 2, 2, 1, 1,       UniConv,    196,    256,   2304, 136.16
1, 1024, 256, 14, 14, 1, 1, 1, 1, 1, 0, 0,       UniConv,    196,    256,   1024, 131.78
1, 256, 256, 14, 14, 1, 3, 3, 1, 1, 1, 1,       UniConv,    196,    256,   2304, 138.69
1, 1024, 512, 14, 14, 1, 1, 1, 1, 1, 0, 0,       UniConv,    196,    512,   1024, 141.79
1, 512, 512, 14, 14, 1, 3, 3, 2, 2, 1, 1,       UniConv,     49,    512,   4608, 138.40
1, 2048, 512, 7, 7, 1, 1, 1, 1, 1, 0, 0,       UniConv,     49,    512,   2048, 139.79
1, 512, 512, 7, 7, 1, 3, 3, 1, 1, 1, 1,       UniConv,     49,    512,   4608, 145.24
